,ArrDelayMinutes
11.0,4626
12.0,4237
13.0,4034
14.0,3695
15.0,3471
16.0,3346
17.0,3058
18.0,2934
19.0,2783
20.0,2633
21.0,2408
22.0,2309
23.0,2226
24.0,2079
25.0,1987
26.0,1919
27.0,1761
28.0,1746
29.0,1635
30.0,1544
32.0,1446
31.0,1438
33.0,1384
34.0,1323
35.0,1319
37.0,1192
36.0,1191
38.0,1062
40.0,1031
39.0,1010
41.0,1010
42.0,969
43.0,887
44.0,873
45.0,850
46.0,843
47.0,771
50.0,737
48.0,733
49.0,717
51.0,704
52.0,687
53.0,662
54.0,648
56.0,647
55.0,625
57.0,596
59.0,559
60.0,549
61.0,545
58.0,540
62.0,521
63.0,499
64.0,471
65.0,467
66.0,460
68.0,442
72.0,431
73.0,427
69.0,424
67.0,423
70.0,418
75.0,409
71.0,402
74.0,397
76.0,356
77.0,350
78.0,350
81.0,350
79.0,332
82.0,325
86.0,324
85.0,318
80.0,317
89.0,316
84.0,309
88.0,306
87.0,302
83.0,298
92.0,269
91.0,261
90.0,258
93.0,257
96.0,249
94.0,249
95.0,240
101.0,238
98.0,234
100.0,229
99.0,222
97.0,220
104.0,216
111.0,208
112.0,207
105.0,203
103.0,200
107.0,199
120.0,193
102.0,191
113.0,191
114.0,188
110.0,186
109.0,184
108.0,180
115.0,180
106.0,175
119.0,172
124.0,164
118.0,162
116.0,160
117.0,156
130.0,154
121.0,151
131.0,147
122.0,147
125.0,146
127.0,146
128.0,141
134.0,140
126.0,135
135.0,135
123.0,135
129.0,131
132.0,129
139.0,123
137.0,121
148.0,117
151.0,116
143.0,115
138.0,115
133.0,114
136.0,112
142.0,110
140.0,108
156.0,106
145.0,105
146.0,105
147.0,101
141.0,99
144.0,96
149.0,93
150.0,92
160.0,92
152.0,89
154.0,89
157.0,83
155.0,82
166.0,81
161.0,80
159.0,76
164.0,76
165.0,76
162.0,76
158.0,75
175.0,75
163.0,74
171.0,72
177.0,71
153.0,71
169.0,69
182.0,68
176.0,66
183.0,66
170.0,66
168.0,65
184.0,64
179.0,64
172.0,64
174.0,61
167.0,60
188.0,59
185.0,57
194.0,57
210.0,56
178.0,55
180.0,54
195.0,52
202.0,52
192.0,51
186.0,50
173.0,50
201.0,48
187.0,48
190.0,48
203.0,46
200.0,46
214.0,45
199.0,45
197.0,44
181.0,43
198.0,43
193.0,42
212.0,42
206.0,41
204.0,41
189.0,41
207.0,40
196.0,40
213.0,40
211.0,39
191.0,39
223.0,39
216.0,39
209.0,37
205.0,37
227.0,36
208.0,36
221.0,36
219.0,34
225.0,33
224.0,33
215.0,33
226.0,33
220.0,33
242.0,32
217.0,31
240.0,31
229.0,30
231.0,29
241.0,29
236.0,29
228.0,29
254.0,29
262.0,29
234.0,28
245.0,28
235.0,28
222.0,28
247.0,27
233.0,27
239.0,27
237.0,25
258.0,24
238.0,24
218.0,24
274.0,24
250.0,24
256.0,23
244.0,23
261.0,23
232.0,23
264.0,23
260.0,23
255.0,23
251.0,23
249.0,22
246.0,22
266.0,21
282.0,20
230.0,20
243.0,20
267.0,20
268.0,19
265.0,19
252.0,19
248.0,18
283.0,17
280.0,17
253.0,17
279.0,17
284.0,17
272.0,17
343.0,16
257.0,16
302.0,15
277.0,15
288.0,14
273.0,14
281.0,14
259.0,14
320.0,14
263.0,14
292.0,14
269.0,13
286.0,13
275.0,13
361.0,13
285.0,13
291.0,13
303.0,13
317.0,13
304.0,12
295.0,12
301.0,12
342.0,12
294.0,12
278.0,11
319.0,11
316.0,11
324.0,11
293.0,11
314.0,11
329.0,11
299.0,11
339.0,11
270.0,11
308.0,11
290.0,11
300.0,11
315.0,10
296.0,10
325.0,10
334.0,10
276.0,10
307.0,10
327.0,10
321.0,10
333.0,10
381.0,9
348.0,9
305.0,9
358.0,9
312.0,9
378.0,9
350.0,9
289.0,9
387.0,8
306.0,8
399.0,8
398.0,8
345.0,8
369.0,8
354.0,8
298.0,8
322.0,8
352.0,7
392.0,7
309.0,7
310.0,7
347.0,7
330.0,7
271.0,7
360.0,7
346.0,7
391.0,7
542.0,7
341.0,7
340.0,7
363.0,7
287.0,7
371.0,7
297.0,7
338.0,7
318.0,7
374.0,7
326.0,7
351.0,6
365.0,6
397.0,6
394.0,6
592.0,6
458.0,6
344.0,6
372.0,6
313.0,6
443.0,6
376.0,6
403.0,6
373.0,6
507.0,6
311.0,6
429.0,6
452.0,6
539.0,5
445.0,5
355.0,5
757.0,5
401.0,5
522.0,5
359.0,5
527.0,5
409.0,5
604.0,5
385.0,5
411.0,5
433.0,5
643.0,5
323.0,5
428.0,5
404.0,5
386.0,5
377.0,5
337.0,5
328.0,5
435.0,5
412.0,4
560.0,4
349.0,4
423.0,4
383.0,4
446.0,4
420.0,4
588.0,4
366.0,4
451.0,4
633.0,4
364.0,4
477.0,4
353.0,4
375.0,4
393.0,4
332.0,4
384.0,4
362.0,4
562.0,4
465.0,4
425.0,4
526.0,4
629.0,4
483.0,4
336.0,4
500.0,3
700.0,3
479.0,3
416.0,3
705.0,3
890.0,3
408.0,3
499.0,3
463.0,3
396.0,3
612.0,3
380.0,3
549.0,3
576.0,3
828.0,3
437.0,3
837.0,3
390.0,3
528.0,3
492.0,3
449.0,3
775.0,3
444.0,3
941.0,3
494.0,3
389.0,3
1041.0,3
928.0,3
901.0,3
641.0,3
984.0,3
486.0,3
410.0,3
367.0,3
439.0,3
656.0,3
634.0,3
812.0,3
356.0,3
414.0,3
610.0,3
587.0,3
506.0,3
821.0,3
481.0,3
627.0,3
419.0,3
862.0,3
400.0,3
432.0,3
460.0,3
473.0,3
776.0,3
480.0,3
713.0,3
891.0,3
357.0,3
475.0,3
1005.0,3
421.0,3
407.0,3
618.0,3
470.0,2
469.0,2
368.0,2
829.0,2
711.0,2
921.0,2
768.0,2
860.0,2
649.0,2
472.0,2
438.0,2
422.0,2
733.0,2
878.0,2
395.0,2
693.0,2
764.0,2
619.0,2
466.0,2
379.0,2
504.0,2
701.0,2
785.0,2
565.0,2
745.0,2
485.0,2
1049.0,2
441.0,2
874.0,2
934.0,2
1176.0,2
647.0,2
706.0,2
817.0,2
515.0,2
406.0,2
537.0,2
683.0,2
978.0,2
756.0,2
1440.0,2
674.0,2
543.0,2
370.0,2
581.0,2
938.0,2
881.0,2
920.0,2
535.0,2
557.0,2
885.0,2
571.0,2
525.0,2
822.0,2
548.0,2
447.0,2
415.0,2
869.0,2
731.0,2
1124.0,2
848.0,2
413.0,2
551.0,2
611.0,2
335.0,2
1060.0,2
583.0,2
903.0,2
679.0,2
652.0,2
769.0,2
450.0,2
459.0,2
804.0,2
796.0,2
440.0,2
550.0,2
779.0,2
456.0,2
1016.0,2
659.0,2
534.0,2
516.0,2
495.0,2
975.0,2
487.0,2
658.0,2
590.0,2
660.0,2
436.0,2
490.0,2
405.0,2
442.0,2
907.0,2
959.0,2
331.0,2
547.0,2
625.0,2
498.0,2
782.0,2
811.0,2
718.0,2
668.0,2
578.0,2
601.0,2
589.0,2
594.0,2
645.0,2
818.0,2
467.0,2
1038.0,2
662.0,2
924.0,2
544.0,2
802.0,2
608.0,2
875.0,2
839.0,2
650.0,2
617.0,2
631.0,2
529.0,2
556.0,2
505.0,2
1341.0,2
1405.0,2
910.0,2
750.0,2
810.0,1
893.0,1
455.0,1
1136.0,1
987.0,1
1203.0,1
496.0,1
1080.0,1
382.0,1
531.0,1
1275.0,1
1064.0,1
1100.0,1
533.0,1
686.0,1
1250.0,1
716.0,1
1522.0,1
642.0,1
462.0,1
1722.0,1
597.0,1
1050.0,1
842.0,1
1096.0,1
955.0,1
1141.0,1
867.0,1
1429.0,1
519.0,1
606.0,1
523.0,1
760.0,1
945.0,1
584.0,1
936.0,1
579.0,1
1042.0,1
1054.0,1
762.0,1
715.0,1
1012.0,1
563.0,1
1344.0,1
586.0,1
1306.0,1
1939.0,1
1230.0,1
971.0,1
845.0,1
937.0,1
1584.0,1
624.0,1
1032.0,1
530.0,1
661.0,1
1413.0,1
2677.0,1
950.0,1
1395.0,1
720.0,1
949.0,1
488.0,1
2125.0,1
575.0,1
598.0,1
1437.0,1
402.0,1
914.0,1
573.0,1
841.0,1
889.0,1
1533.0,1
502.0,1
1244.0,1
906.0,1
1009.0,1
935.0,1
577.0,1
896.0,1
1925.0,1
1610.0,1
388.0,1
1155.0,1
735.0,1
1027.0,1
1469.0,1
737.0,1
1408.0,1
1455.0,1
767.0,1
740.0,1
1101.0,1
493.0,1
1033.0,1
657.0,1
1104.0,1
694.0,1
1008.0,1
1132.0,1
484.0,1
982.0,1
979.0,1
1324.0,1
996.0,1
1278.0,1
727.0,1
1097.0,1
653.0,1
520.0,1
513.0,1
1518.0,1
742.0,1
859.0,1
826.0,1
702.0,1
1682.0,1
1671.0,1
1137.0,1
540.0,1
743.0,1
616.0,1
1412.0,1
1052.0,1
856.0,1
917.0,1
882.0,1
830.0,1
478.0,1
651.0,1
2056.0,1
1404.0,1
593.0,1
843.0,1
710.0,1
1509.0,1
771.0,1
712.0,1
518.0,1
836.0,1
1168.0,1
1165.0,1
1091.0,1
644.0,1
999.0,1
568.0,1
2081.0,1
603.0,1
1793.0,1
1076.0,1
546.0,1
944.0,1
732.0,1
1163.0,1
482.0,1
497.0,1
820.0,1
1068.0,1
880.0,1
725.0,1
1147.0,1
1044.0,1
730.0,1
514.0,1
798.0,1
751.0,1
468.0,1
803.0,1
621.0,1
968.0,1
895.0,1
746.0,1
918.0,1
765.0,1
431.0,1
426.0,1
457.0,1
609.0,1
1623.0,1
430.0,1
489.0,1
824.0,1
747.0,1
615.0,1
989.0,1
1337.0,1
1295.0,1
524.0,1
476.0,1
1298.0,1
1166.0,1
866.0,1
666.0,1
1010.0,1
580.0,1
1531.0,1
905.0,1
773.0,1
951.0,1
861.0,1
1332.0,1
667.0,1
1017.0,1
692.0,1
933.0,1
595.0,1
1161.0,1
1542.0,1
797.0,1
1205.0,1
838.0,1
704.0,1
599.0,1
1178.0,1
939.0,1
673.0,1
707.0,1
623.0,1
1216.0,1
1117.0,1
1046.0,1
799.0,1
965.0,1
570.0,1
511.0,1
536.0,1
1118.0,1
787.0,1
613.0,1
1289.0,1
1274.0,1
585.0,1
434.0,1
678.0,1
985.0,1
806.0,1
417.0,1
545.0,1
632.0,1
988.0,1
628.0,1
902.0,1
558.0,1
958.0,1
1418.0,1
1002.0,1
1171.0,1
454.0,1
1109.0,1
738.0,1
1541.0,1
1051.0,1
911.0,1
772.0,1
1028.0,1
970.0,1
758.0,1
819.0,1
759.0,1
638.0,1
591.0,1
1082.0,1
1014.0,1
857.0,1
855.0,1
847.0,1
1079.0,1
947.0,1
865.0,1
840.0,1
1138.0,1
555.0,1
961.0,1
1280.0,1
1433.0,1
877.0,1
1170.0,1
1551.0,1
1023.0,1
503.0,1
1220.0,1
986.0,1
1193.0,1
607.0,1
852.0,1
741.0,1
844.0,1
790.0,1
1094.0,1
1152.0,1
995.0,1
922.0,1
1127.0,1
1065.0,1
614.0,1
1186.0,1
813.0,1
2556.0,1
744.0,1
564.0,1
834.0,1
1326.0,1
850.0,1
